AirQualityStationEoICode,Concentration,DatetimeBegin
GB0682A,23.58,2013-06-12 00:00:00 +01:00
GB0682A,30.58,2013-06-13 00:00:00 +01:00
GB0682A,32.03,2013-06-14 00:00:00 +01:00
GB0682A,27.01,2013-06-15 00:00:00 +01:00
GB0682A,25.56,2013-06-16 00:00:00 +01:00
GB0682A,23.04,2013-06-17 00:00:00 +01:00
GB0682A,41.45,2013-06-18 00:00:00 +01:00
GB0682A,33.69,2013-06-19 00:00:00 +01:00
GB0682A,56.47,2013-06-20 00:00:00 +01:00
GB0682A,37.88,2013-06-21 00:00:00 +01:00
GB0682A,24.33,2013-06-22 00:00:00 +01:00
GB0682A,15.68,2013-06-23 00:00:00 +01:00
GB0682A,15.0,2013-06-24 00:00:00 +01:00
GB0682A,19.05,2013-06-25 00:00:00 +01:00
GB0682A,26.33,2013-06-26 00:00:00 +01:00
GB0682A,19.79,2013-06-27 00:00:00 +01:00
GB0682A,19.79,2013-06-28 00:00:00 +01:00
GB0682A,15.19,2013-06-29 00:00:00 +01:00
GB0682A,21.63,2013-06-30 00:00:00 +01:00
GB0682A,30.21,2013-07-01 00:00:00 +01:00
GB0682A,38.67,2013-07-02 00:00:00 +01:00
GB0682A,,2013-07-03 00:00:00 +01:00
GB0682A,28.01,2013-07-04 00:00:00 +01:00
GB0682A,29.21,2013-07-05 00:00:00 +01:00
GB0682A,30.67,2013-07-06 00:00:00 +01:00
GB0682A,22.79,2013-07-07 00:00:00 +01:00
GB0682A,17.63,2013-07-08 00:00:00 +01:00
GB0682A,19.71,2013-07-09 00:00:00 +01:00
GB0682A,18.29,2013-07-10 00:00:00 +01:00
GB0682A,22.71,2013-07-11 00:00:00 +01:00
GB0682A,18.88,2013-07-12 00:00:00 +01:00
GB0682A,30.71,2013-07-13 00:00:00 +01:00
GB0682A,23.4,2013-07-14 00:00:00 +01:00
GB0682A,19.42,2013-07-15 00:00:00 +01:00
GB0682A,35.33,2013-07-16 00:00:00 +01:00
GB0682A,35.23,2013-07-17 00:00:00 +01:00
GB0682A,22.42,2013-07-18 00:00:00 +01:00
GB0682A,18.84,2013-07-19 00:00:00 +01:00
GB0682A,13.04,2013-07-20 00:00:00 +01:00
GB0682A,25.94,2013-07-21 00:00:00 +01:00
GB0682A,37.6,2013-07-22 00:00:00 +01:00
GB0682A,39.42,2013-07-23 00:00:00 +01:00
GB0682A,32.25,2013-07-24 00:00:00 +01:00
GB0682A,30.04,2013-07-25 00:00:00 +01:00
GB0682A,32.92,2013-07-26 00:00:00 +01:00
GB0682A,24.0,2013-07-27 00:00:00 +01:00
GB0682A,,2013-07-28 00:00:00 +01:00
GB0682A,16.97,2013-07-29 00:00:00 +01:00
GB0682A,29.88,2013-07-30 00:00:00 +01:00
GB0682A,51.08,2013-07-31 00:00:00 +01:00
GB0682A,28.08,2013-08-01 00:00:00 +01:00
GB0682A,28.8,2013-08-02 00:00:00 +01:00
GB0682A,24.4,2013-08-03 00:00:00 +01:00
GB0682A,21.54,2013-08-04 00:00:00 +01:00
GB0682A,25.93,2013-08-05 00:00:00 +01:00
GB0682A,21.46,2013-08-06 00:00:00 +01:00
GB0682A,22.83,2013-08-07 00:00:00 +01:00
GB0682A,30.75,2013-08-08 00:00:00 +01:00
GB0682A,20.21,2013-08-09 00:00:00 +01:00
GB0682A,19.75,2013-08-10 00:00:00 +01:00
GB0682A,17.72,2013-08-11 00:00:00 +01:00
GB0682A,17.84,2013-08-12 00:00:00 +01:00
GB0682A,19.54,2013-08-13 00:00:00 +01:00
GB0682A,27.47,2013-08-14 00:00:00 +01:00
GB0682A,28.04,2013-08-15 00:00:00 +01:00
GB0682A,28.67,2013-08-16 00:00:00 +01:00
GB0682A,23.94,2013-08-17 00:00:00 +01:00
GB0682A,18.96,2013-08-18 00:00:00 +01:00
GB0682A,16.93,2013-08-19 00:00:00 +01:00
GB0682A,29.63,2013-08-20 00:00:00 +01:00
GB0682A,35.13,2013-08-21 00:00:00 +01:00
GB0682A,31.87,2013-08-22 00:00:00 +01:00
GB0682A,55.75,2013-08-23 00:00:00 +01:00
GB0682A,48.08,2013-08-24 00:00:00 +01:00
GB0682A,14.27,2013-08-25 00:00:00 +01:00
GB0682A,23.57,2013-08-26 00:00:00 +01:00
GB0682A,23.46,2013-08-27 00:00:00 +01:00
GB0682A,24.08,2013-08-28 00:00:00 +01:00
GB0682A,25.35,2013-08-29 00:00:00 +01:00
GB0682A,24.32,2013-08-30 00:00:00 +01:00
GB0682A,18.21,2013-08-31 00:00:00 +01:00
GB0682A,19.58,2013-09-01 00:00:00 +01:00
GB0682A,17.1,2013-09-02 00:00:00 +01:00
GB0682A,33.86,2013-09-03 00:00:00 +01:00
GB0682A,45.92,2013-09-04 00:00:00 +01:00
GB0682A,42.54,2013-09-05 00:00:00 +01:00
GB0682A,33.13,2013-09-06 00:00:00 +01:00
GB0682A,19.42,2013-09-07 00:00:00 +01:00
GB0682A,18.92,2013-09-08 00:00:00 +01:00
GB0682A,16.67,2013-09-09 00:00:00 +01:00
GB0682A,12.42,2013-09-10 00:00:00 +01:00
GB0682A,12.16,2013-09-11 00:00:00 +01:00
GB0682A,21.95,2013-09-12 00:00:00 +01:00
GB0682A,19.13,2013-09-13 00:00:00 +01:00
GB0682A,14.79,2013-09-14 00:00:00 +01:00
GB0682A,22.42,2013-09-15 00:00:00 +01:00
GB0682A,23.96,2013-09-16 00:00:00 +01:00
GB0682A,30.63,2013-09-17 00:00:00 +01:00
GB0682A,12.29,2013-09-18 00:00:00 +01:00
GB0682A,31.2,2013-09-19 00:00:00 +01:00
GB0682A,25.77,2013-09-20 00:00:00 +01:00
GB0682A,39.21,2013-09-21 00:00:00 +01:00
GB0682A,15.58,2013-09-22 00:00:00 +01:00
GB0682A,34.4,2013-09-23 00:00:00 +01:00
GB0682A,51.95,2013-09-24 00:00:00 +01:00
GB0682A,25.23,2013-09-25 00:00:00 +01:00
GB0682A,30.0,2013-09-26 00:00:00 +01:00
GB0682A,30.62,2013-09-27 00:00:00 +01:00
GB0682A,35.04,2013-09-28 00:00:00 +01:00
GB0682A,29.05,2013-09-29 00:00:00 +01:00
GB0682A,36.68,2013-09-30 00:00:00 +01:00
GB0682A,47.14,2013-10-01 00:00:00 +01:00
GB0682A,39.92,2013-10-02 00:00:00 +01:00
GB0682A,40.0,2013-10-03 00:00:00 +01:00
GB0682A,33.33,2013-10-04 00:00:00 +01:00
GB0682A,20.33,2013-10-05 00:00:00 +01:00
GB0682A,30.21,2013-10-06 00:00:00 +01:00
GB0682A,37.0,2013-10-07 00:00:00 +01:00
GB0682A,35.63,2013-10-08 00:00:00 +01:00
GB0682A,21.75,2013-10-09 00:00:00 +01:00
GB0682A,,2013-10-10 00:00:00 +01:00
GB0682A,14.11,2013-10-11 00:00:00 +01:00
GB0682A,22.79,2013-10-12 00:00:00 +01:00
GB0682A,17.05,2013-10-13 00:00:00 +01:00
GB0682A,32.5,2013-10-14 00:00:00 +01:00
GB0682A,27.1,2013-10-15 00:00:00 +01:00
GB0682A,33.44,2013-10-16 00:00:00 +01:00
GB0682A,41.21,2013-10-17 00:00:00 +01:00
GB0682A,34.25,2013-10-18 00:00:00 +01:00
GB0682A,30.08,2013-10-19 00:00:00 +01:00
GB0682A,25.5,2013-10-20 00:00:00 +01:00
GB0682A,31.21,2013-10-21 00:00:00 +01:00
GB0682A,34.36,2013-10-22 00:00:00 +01:00
GB0682A,35.71,2013-10-23 00:00:00 +01:00
GB0682A,35.04,2013-10-24 00:00:00 +01:00
GB0682A,31.87,2013-10-25 00:00:00 +01:00
GB0682A,25.5,2013-10-26 00:00:00 +01:00
GB0682A,27.17,2013-10-27 00:00:00 +01:00
GB0682A,21.99,2013-10-28 00:00:00 +01:00
GB0682A,31.58,2013-10-29 00:00:00 +01:00
GB0682A,35.89,2013-10-30 00:00:00 +01:00
GB0682A,35.29,2013-10-31 00:00:00 +01:00
GB0682A,32.13,2013-11-01 00:00:00 +01:00
GB0682A,30.79,2013-11-02 00:00:00 +01:00
GB0682A,21.62,2013-11-03 00:00:00 +01:00
GB0682A,18.8,2013-11-04 00:00:00 +01:00
GB0682A,28.63,2013-11-05 00:00:00 +01:00
GB0682A,31.0,2013-11-06 00:00:00 +01:00
GB0682A,34.25,2013-11-07 00:00:00 +01:00
GB0682A,33.5,2013-11-08 00:00:00 +01:00
GB0682A,28.79,2013-11-09 00:00:00 +01:00
GB0682A,21.62,2013-11-10 00:00:00 +01:00
GB0682A,24.32,2013-11-11 00:00:00 +01:00
GB0682A,19.92,2013-11-12 00:00:00 +01:00
GB0682A,44.29,2013-11-13 00:00:00 +01:00
GB0682A,22.37,2013-11-14 00:00:00 +01:00
GB0682A,33.33,2013-11-15 00:00:00 +01:00
GB0682A,47.88,2013-11-16 00:00:00 +01:00
GB0682A,32.17,2013-11-17 00:00:00 +01:00
GB0682A,30.95,2013-11-18 00:00:00 +01:00
GB0682A,16.14,2013-11-19 00:00:00 +01:00
GB0682A,21.12,2013-11-20 00:00:00 +01:00
GB0682A,14.83,2013-11-21 00:00:00 +01:00
GB0682A,14.88,2013-11-22 00:00:00 +01:00
GB0682A,16.0,2013-11-23 00:00:00 +01:00
GB0682A,16.38,2013-11-24 00:00:00 +01:00
GB0682A,21.42,2013-11-25 00:00:00 +01:00
GB0682A,27.58,2013-11-26 00:00:00 +01:00
GB0682A,37.08,2013-11-27 00:00:00 +01:00
GB0682A,39.17,2013-11-28 00:00:00 +01:00
GB0682A,30.88,2013-11-29 00:00:00 +01:00
GB0682A,23.4,2013-11-30 00:00:00 +01:00
GB0682A,28.75,2013-12-01 00:00:00 +01:00
GB0682A,34.08,2013-12-02 00:00:00 +01:00
GB0682A,39.5,2013-12-03 00:00:00 +01:00
GB0682A,36.08,2013-12-04 00:00:00 +01:00
GB0682A,35.68,2013-12-05 00:00:00 +01:00
