AirQualityStationEoICode,Concentration,DatetimeBegin
HU0023A,37.0,2013-04-19 00:00:00 +01:00
HU0023A,38.0,2013-04-20 00:00:00 +01:00
HU0023A,30.0,2013-04-21 00:00:00 +01:00
HU0023A,39.0,2013-04-22 00:00:00 +01:00
HU0023A,30.0,2013-04-23 00:00:00 +01:00
HU0023A,24.0,2013-04-24 00:00:00 +01:00
HU0023A,24.0,2013-04-25 00:00:00 +01:00
HU0023A,36.0,2013-04-26 00:00:00 +01:00
HU0023A,47.0,2013-04-27 00:00:00 +01:00
HU0023A,26.0,2013-04-28 00:00:00 +01:00
HU0023A,36.0,2013-04-29 00:00:00 +01:00
HU0023A,55.0,2013-04-30 00:00:00 +01:00
HU0023A,58.0,2013-05-01 00:00:00 +01:00
HU0023A,50.0,2013-05-02 00:00:00 +01:00
HU0023A,49.0,2013-05-03 00:00:00 +01:00
HU0023A,13.0,2013-05-04 00:00:00 +01:00
HU0023A,17.0,2013-05-05 00:00:00 +01:00
HU0023A,30.0,2013-05-06 00:00:00 +01:00
HU0023A,26.0,2013-05-07 00:00:00 +01:00
HU0023A,25.0,2013-05-08 00:00:00 +01:00
HU0023A,31.0,2013-05-09 00:00:00 +01:00
HU0023A,34.0,2013-05-10 00:00:00 +01:00
HU0023A,25.0,2013-05-11 00:00:00 +01:00
HU0023A,24.0,2013-05-12 00:00:00 +01:00
HU0023A,15.0,2013-05-13 00:00:00 +01:00
HU0023A,9.0,2013-05-14 00:00:00 +01:00
HU0023A,11.0,2013-05-15 00:00:00 +01:00
HU0023A,13.0,2013-05-16 00:00:00 +01:00
HU0023A,19.0,2013-05-17 00:00:00 +01:00
HU0023A,10.0,2013-05-18 00:00:00 +01:00
HU0023A,14.0,2013-05-19 00:00:00 +01:00
HU0023A,13.0,2013-05-20 00:00:00 +01:00
HU0023A,13.0,2013-05-21 00:00:00 +01:00
HU0023A,6.0,2013-05-22 00:00:00 +01:00
HU0023A,10.0,2013-05-23 00:00:00 +01:00
HU0023A,12.0,2013-05-24 00:00:00 +01:00
HU0023A,15.0,2013-05-25 00:00:00 +01:00
HU0023A,7.0,2013-05-26 00:00:00 +01:00
HU0023A,7.0,2013-05-27 00:00:00 +01:00
HU0023A,11.0,2013-05-28 00:00:00 +01:00
HU0023A,22.0,2013-05-29 00:00:00 +01:00
HU0023A,27.0,2013-05-30 00:00:00 +01:00
HU0023A,11.0,2013-05-31 00:00:00 +01:00
HU0023A,11.0,2013-06-01 00:00:00 +01:00
HU0023A,11.0,2013-06-02 00:00:00 +01:00
