Name,Latitude,Longitude
DENW338,51.485,6.735
FR24038,44.549,6.067
BETR020,50.941,4.437
CZ0SBER,49.958,14.058
BETR710,51.061,3.775
BETR731,51.125,3.74
AT4S217,48.209,14.437
PL0535A,53.712,16.692
DEBW125,49.004,8.526
IT2067A,43.318,12.619
IT1817A,40.957,17.29
FR25052,49.02,1.139
DEBB086,52.35,13.424
DEMV022,54.093,12.1
BETR240,50.584,5.397
HR0012A,46.169,15.661
FR20046,45.779,4.925
ES1418A,41.763,-1.143
DERP003,49.455,8.426
DEBB060,52.832,13.822
DENW116,51.343,6.67
DEBB068,52.678,13.582
BETM802,51.261,4.424
NL00573,52.79,4.729
BETR811,51.252,4.491
FR18080,49.843,3.281
DEBY028,48.91,11.879
FR01020,49.358,6.157
PL0171A,54.464,17.047
FR28028,50.535,2.636
IT1030A,44.283,11.871
AT32301,48.212,15.634
GB0050A,36.133,-5.353
AT31413,48.084,16.33
ES1277A,38.681,-4.108
DEBW015,49.166,9.225
DENW030,51.673,6.63
FR31036,43.705,-1.039
FR04024,48.991,2.445
IT1144A,44.294,8.411
IT1860A,42.74,12.737
IT2109A,42.552,12.42
IT2233A,45.734,7.33
BETR834,51.092,4.38
IT2143A,40.961,17.284
DEBB007,51.463,13.527
BETN016,51.234,5.164
BEGR811,51.252,4.491
DEBY052,48.397,10.008
NL00491,51.938,4.431
DERP047,49.784,6.69
DEBY012,48.177,12.829
ES2051A,43.402,-5.803
ES1767A,28.073,-16.653
BETM705,50.945,3.152
DEHH015,53.523,10.021
DEBY067,49.322,12.128
IT1938A,39.313,16.245
FR26005,47.308,5.066
CZ0KSOM,50.173,12.673
IT2104A,45.664,8.16
BETN045,50.94,5.368
FR08026,43.428,3.604
LU0102A,49.505,5.977
BELMN01,50.793,3.11
BETN035,50.978,4.838
DEBY075,49.679,12.159
CH0031A,46.951,7.441
NL00489,51.869,4.575
IT2141A,41.631,15.387
BELGK06,50.928,5.471
ES1755A,42.581,-1.282
DEBY002,50.058,12.189
BELRL01,50.953,3.121
AT0ENK1,48.392,13.671
PL0152A,54.118,22.935
IT1902A,43.067,12.468
DEBY035,47.557,9.689
IT2032A,43.473,11.142
BETR512,50.408,4.396
AL0206A,42.314,19.523
DEBB083,51.565,14.376
ES1803A,40.634,-4.014
BELAL01,51.236,4.385
DEBW022,48.578,7.802
CH0011A,46.011,8.957
BETR831,51.349,4.34
RO0210A,43.964,26.038
IT2142A,41.547,15.441
ES1811A,40.167,-3.277
FR22054,49.187,6.911
BETN054,50.712,5.103
BELAB02,51.341,4.322
DEST104,51.837,11.891
FR18042,49.851,3.284
FR32001,46.782,4.847
DEMV023,53.632,11.398
BELSZ02,50.913,4.512
DEBY001,49.305,10.572
IT1940A,38.23,16.255
DENW010,51.547,7.694
DEST108,51.197,11.961
BETR815,51.215,4.332
NL00561,52.334,4.774
DEBB029,53.064,14.285
DEBW005,49.544,8.465
NL00485,51.866,4.355
IT1544A,44.107,9.858
NL00572,52.474,4.629
DEBB067,52.609,12.885
IT1510A,45.93,8.565
ES2025A,28.506,-13.849
DENW181,51.443,8.361
DENW179,51.449,7.582
DENI071,51.614,10.423
DEBY121,47.648,12.188
IT2139A,40.646,17.961
DEBW156,48.229,8.391
DEBY187,48.952,10.598
DEBY004,49.869,9.172
LU0105A,49.722,6.305
DERP022,49.842,7.866
IT2087A,38.96,16.295
BETR223,50.621,5.516
FR02020,43.511,5.22
ES1762A,28.047,-16.536
FR04048,49.1,2.344
NL00495,51.932,4.228
DENW074,50.883,6.469
FR30033,49.066,5.786
IT1796A,43.336,13.675
NL00496,51.978,4.121
AT4S156,48.258,13.04
PL0005R,54.125,22.038
FR24018,43.836,5.786
MT00004,35.852,14.539
IT1947A,39.067,9.009
NL00704,52.43,4.77
DENI053,52.998,7.943
IT1843A,42.849,13.619
DENW068,51.571,8.148
FR18053,49.903,2.305
DEBW052,47.664,9.169
FR82050,46.671,5.557
DESH015,53.925,9.533
IT0863A,42.422,12.109
ES1772A,28.393,-16.358
FR39015,14.606,-61.065
PT04006,38.615,-7.397
DEMV004,53.818,12.065
DEBW023,47.588,7.633
LV0022A,57.404,21.59
FR06009,50.172,3.236
AT4S407,48.001,13.668
ES1976A,28.462,-16.277
NL00230,51.519,5.149
DEBY088,48.022,12.538
FR34034,47.222,2.073
DESH035,53.896,9.157
PT03089,38.785,-9.347
ES1798A,43.354,-8.425
DENI043,52.499,7.317
ES2038A,28.459,-16.27
ES1809A,40.185,-3.68
DEST002,52.268,11.865
DK0051A,56.151,10.201
DEBY014,50.261,10.959
DESH028,53.699,10.776
IT2113A,42.737,12.137
AT4S418,47.972,13.601
NL00570,52.487,4.639
IT1812A,45.913,9.497
NL00547,52.235,5.182
BEGRT01,51.231,5.053
BETR510,50.416,4.521
ES1741A,27.764,-15.564
NL00703,52.4,4.73
DETH036,50.656,12.205
IT1993A,39.261,9.136
DEBB053,52.564,14.015
FR14042,48.646,4.966
ES1490A,43.171,-2.636
DEMV019,53.782,12.176
IT0983A,45.736,7.324
ES1964A,41.387,2.057
PT03099,38.636,-8.691
FR08020,43.676,4.088
GB0954A,52.132,-0.3
AT4S409,48.049,14.443
FR04181,48.634,1.831
CH0010A,47.378,8.53
NL00448,51.927,4.462
ES1810A,40.25,-4.275
FR26019,47.801,3.576
CZ0JKOS,49.573,15.08
BETN012,51.255,3.363
DEUB005,52.801,10.757
FR34038,46.815,2.61
IT1773A,43.468,12.952
DERP046,50.431,7.461
IT1587A,45.937,13.616
IT2038A,44.052,8.207
